kappa,tau,s,value
1,4,16,2014.255351
0.9,1024,4096,1680.540179
0.6,1024,4096,1328.191297
0.6,16,4,2859.44042
0.7,1,4096,1313.263743
0.5,64,16384,1271.869567
0.6,64,4,2630.424468
1,1,1,2547.784743
1,16,64,1558.076377
0.5,256,16384,1278.123799
0.8,256,4096,1361.320422
0.6,256,16,1800.42916
0.5,4,64,2084.897678
0.8,64,256,1349.81201
1,16,4,2079.802409
0.5,1,4,3624.167804
0.9,16,16,1749.505296
0.8,1,4096,1310.06086
1,64,1024,1343.801912
0.7,1,64,1983.587762
0.5,4,16,2804.74862
0.7,256,64,1427.856381
0.9,16,1024,1317.263697
0.5,256,1,5000.332116
1,1024,4,1637.661866
0.8,1024,4096,1537.873629
0.9,16,4,2040.531678
0.5,64,1,5022.511473
1,4,256,1472.690781
1,64,16,1572.944521
0.8,1024,4,1528.555961
0.8,64,16,1631.072354
0.9,64,16,1541.968527
0.9,1024,256,1468.342464
0.7,4,1,2968.382913
0.9,1,64,1886.883404
0.8,4,16,2101.979941
0.6,1,16,2601.345619
0.9,1024,64,1506.415675
0.7,16,16384,1271.57459
1,1,4,2524.250165
1,1024,16384,2250.711024
0.8,4,1,2566.382537
0.6,64,64,1630.248431
0.8,16,16,1836.733098
0.5,16,16384,1266.167382
0.5,1024,256,1364.836274
0.6,1,1024,1435.221761
0.6,4,4,3053.489799
0.6,64,16384,1268.070557
1,4,16384,1293.198126
1,4,64,1718.817531
0.6,1024,4,2045.705842
0.5,1,256,1730.222585
0.7,1024,1024,1369.038389
0.9,64,64,1454.543818
0.6,256,256,1353.926401
0.9,4,4,2240.094436
0.9,1024,1024,1521.80336
0.9,16,64,1537.363365
1,1024,256,1612.24448
0.6,1024,1,2918.561304
0.8,1024,64,1447.394204
1,16,4096,1295.76713
0.9,16,4096,1284.176859
0.5,64,64,1786.323249
0.8,1,256,1590.643012
0.6,1,1,3722.019016
0.5,64,16,2346.008412
0.7,16,256,1419.439444
1,64,64,1495.508178
0.9,256,16384,1568.119023
0.7,256,1024,1309.209494
1,256,16,1593.476294
0.6,16,16384,1267.214011
0.7,1024,4,1711.022236
1,64,4096,1356.962017
0.8,16,4,2175.249552
0.9,4,64,1706.756992
1,256,1024,1450.749101
1,1024,16,1696.944579
0.7,1024,64,1413.755921
0.7,4,16384,1273.72673
0.6,4,4096,1299.255183
0.6,4,1024,1382.85864
0.9,1,1,2364.737107
0.9,64,16384,1383.792566
0.8,1,16,2271.844459
0.7,256,1,2566.918453
0.9,256,1,1865.777546
0.8,64,4096,1296.58097
0.9,256,1024,1392.699949
0.7,64,64,1505.616635
0.9,1,16384,1287.551166
0.6,16,4096,1285.295193
0.5,1,4096,1329.484556
1,16,1,2369.474345
0.9,256,256,1391.712439
0.8,1024,1,1787.887829
0.9,64,256,1358.717854
0.8,4,16384,1273.680399
0.8,16,16384,1277.089752
0.6,1,4096,1317.818664
0.8,4,1024,1343.23478
0.5,256,4096,1274.208686
